Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1981-03-29,,,,372.0,
1981-03-30,,,,346.0,
1981-03-31,,,,344.0,
1981-04-01,,,,336.0,
1981-04-02,,,,327.0,
1981-04-03,,,,300.0,
1981-04-04,,,,280.0,
1981-04-05,,,,271.0,
1981-04-06,,,,262.0,
1981-04-07,,,,258.0,
1981-04-08,,,,278.0,
1981-04-09,,,,389.0,
1981-04-10,,,,384.0,
1981-04-11,,,,334.0,
1981-04-12,,,,304.0,
1981-04-13,,,,273.0,
1981-04-14,,,,251.0,
1981-04-15,,,,232.0,
1981-04-16,,,,224.0,
1981-04-17,,,,220.0,
1981-04-18,,,,227.0,
1981-04-19,,,,242.0,
1981-04-20,,,,330.0,
1981-04-21,,,,552.0,
1981-04-22,,,,574.0,
1981-04-23,,,,464.0,
1981-04-24,,,,390.0,
1981-04-25,,,,342.0,
1981-04-26,,,,317.0,
1981-04-27,,,,315.0,
1981-04-28,,,,300.0,
1981-04-29,,,,417.0,
1981-04-30,,,,712.0,
1981-05-01,,,,573.0,
1981-05-02,,,,976.0,
1981-05-03,,,,1166.0,
1981-05-04,,,,1688.0,
1981-05-05,,,,1785.0,
1981-05-06,,,,1463.0,
1981-05-07,,,,1621.0,
1981-05-08,,,,1852.0,
1981-05-09,,,,1710.0,
1981-05-10,,,,1508.0,
1981-05-11,,,,1266.0,
1981-05-12,,,,1154.0,
1981-05-13,,,,1379.0,
1981-05-14,,,,1951.0,
1981-05-15,,,,2461.0,
1981-05-16,,,,2342.0,
1981-05-17,,,,2009.0,
1981-05-18,,,,2041.0,
1981-05-19,,,,1921.0,
1981-05-20,,,,1616.0,
1981-05-21,,,,1360.0,
1981-05-22,,,,1716.0,
1981-05-23,,,,2140.0,
1981-05-24,,,,2211.0,
1981-05-25,,,,1898.0,
1981-05-26,,,,1602.0,
1981-05-27,,,,1630.0,
1981-05-28,,,,2293.0,
1981-05-29,,,,2251.0,
1981-05-30,,,,1985.0,
1981-05-31,,,,1660.0,
1981-06-01,,,,1398.0,
1981-06-02,,,,1209.0,
1981-06-03,,,,1065.0,
1981-06-04,,,,946.0,
1981-06-05,,,,843.0,
1981-06-06,,,,774.0,
1981-06-07,,,,980.0,
1981-06-08,,,,1933.0,
1981-06-09,,,,1822.0,
1981-06-10,,,,1507.0,
1981-06-11,,,,1302.0,
1981-06-12,,,,1158.0,
1981-06-13,,,,1093.0,
1981-06-14,,,,1133.0,
1981-06-15,,,,1262.0,
1981-06-16,,,,1066.0,
1981-06-17,,,,933.0,
1981-06-18,,,,838.0,
1981-06-19,,,,775.0,
1981-06-20,,,,769.0,
1981-06-21,,,,707.0,
1981-06-22,,,,649.0,
1981-06-23,,,,598.0,
1981-06-24,,,,584.0,
1981-06-25,,,,621.0,
1981-06-26,,,,576.0,
1981-06-27,,,,536.0,
1981-06-28,,,,590.0,
1981-06-29,,,,885.0,
1981-06-30,,,,1230.0,
